disease,itemset_size,itemset,support
Alcoholic hepatitis,1, abdominal_pain,0.95
Alcoholic hepatitis,1, distention_of_abdomen,0.95
Alcoholic hepatitis,1, fluid_overload,0.95
Alcoholic hepatitis,1, history_of_alcohol_consumption,0.95
Alcoholic hepatitis,1, swelling_of_stomach,0.95
Alcoholic hepatitis,1, vomiting,0.95
Alcoholic hepatitis,1, yellowish_skin,0.95
Alcoholic hepatitis,2," distention_of_abdomen,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," swelling_of_stomach,  yellowish_skin",0.9
Alcoholic hepatitis,2," fluid_overload,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," fluid_overload,  yellowish_skin",0.9
Alcoholic hepatitis,2," swelling_of_stomach,  vomiting",0.9
Alcoholic hepatitis,2," abdominal_pain,  vomiting",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," abdominal_pain,  yellowish_skin",0.9
Alcoholic hepatitis,2," abdominal_pain,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," abdominal_pain,  fluid_overload",0.9
Alcoholic hepatitis,2," abdominal_pain,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," fluid_overload,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," vomiting,  yellowish_skin",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  vomiting",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  yellowish_skin",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," abdominal_pain,  distention_of_abdomen",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  yellowish_skin",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  vomiting",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  fluid_overload",0.9
Alcoholic hepatitis,2," fluid_overload,  vomiting",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," swelling_of_stomach,  yellowish_skin",0.9
Alcoholic hepatitis,2," fluid_overload,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," fluid_overload,  yellowish_skin",0.9
Alcoholic hepatitis,2," swelling_of_stomach,  vomiting",0.9
Alcoholic hepatitis,2," abdominal_pain,  vomiting",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," abdominal_pain,  yellowish_skin",0.9
Alcoholic hepatitis,2," abdominal_pain,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," abdominal_pain,  fluid_overload",0.9
Alcoholic hepatitis,2," abdominal_pain,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," fluid_overload,  swelling_of_stomach",0.9
Alcoholic hepatitis,2," vomiting,  yellowish_skin",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  vomiting",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  yellowish_skin",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  history_of_alcohol_consumption",0.9
Alcoholic hepatitis,2," abdominal_pain,  distention_of_abdomen",0.9
Alcoholic hepatitis,2," history_of_alcohol_consumption,  yellowish_skin",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  vomiting",0.9
Alcoholic hepatitis,2," distention_of_abdomen,  fluid_overload",0.9
Alcoholic hepatitis,2," fluid_overload,  vomiting",0.9
Alcoholic hepatitis,3," distention_of_abdomen,  history_of_alcohol_consumption,  vomiting",0.85
Alcoholic hepatitis,3," fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach",0.85
